description,event_datetime,visiting_team,home_team_score,visiting_team_score,promotion,zone_name,section_name,number_of_transactions,number_of_tickets
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Right Field 302,15,40
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Right Field 304,31,133
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Right Field 305,37,138
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,Reserve Baselines,View Reserve Right Field 307,16,57
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 302,4,16
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 304,9,17
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 305,5,11
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 326,7,21
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 327,13,43
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 328,7,20
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 330,15,47
San Francisco Giants vs. Colorado Rockies,4/13/17 7:15 PM,Colorado Rockies,1,3,,View Deck Baselines,View Box 331,11,46
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 202,12,27
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 203,21,58
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 204,21,47
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 205,18,36
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 226,16,47
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 227,33,83
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 228,18,47
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 229,27,68
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 230,13,34
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Club Baselines,Club Level Outfield 231,4,10
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Lower Baselines,Lower Box 102,42,99
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Lower Baselines,Lower Box 103,58,157
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Lower Baselines,Lower Box 104,58,157
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Lower Baselines,Lower Box 127,95,230
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Lower Baselines,Lower Box 128,67,144
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Lower Baselines,Lower Box 129,85,252
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Lower Baselines,Lower Box 130,67,201
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Outfield 325,9,38
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Outfield 326,25,97
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Outfield 327,102,301
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Outfield 328,92,226
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Outfield 330,81,259
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Outfield 331,9,53
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Right Field 302,32,88
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Right Field 304,85,260
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Right Field 305,83,231
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,Reserve Baselines,View Reserve Right Field 307,20,83
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 302,7,28
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 304,18,44
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 305,12,27
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 326,13,32
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 327,22,61
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 328,14,41
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 330,19,68
San Francisco Giants vs. Colorado Rockies,4/14/17 7:15 PM,Colorado Rockies,8,2,,View Deck Baselines,View Box 331,18,76
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 202,14,31
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 203,20,51
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 204,20,48
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 205,23,50
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 226,17,46
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 227,25,61
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 228,24,52
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 229,23,56
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 230,10,27
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Club Baselines,Club Level Outfield 231,6,14
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Lower Baselines,Lower Box 102,31,71
San Francisco Giants vs. Colorado Rockies,4/15/17 1:05 PM,Colorado Rockies,0,5,,Lower Baselines,Lower Box 103,45,107
